Year,State,Dispensing_Rate,
2020,KY,68.2,
2020,LA,68.3,
2020,MA,33.3,
2020,MD,39.5,
2020,ME,40.3,
2020,MI,54.4,
2020,MN,30.2,
2020,MO,54.4,
2020,MS,64.2,
2020,MT,46.1,
2020,NC,52.8,
2020,ND,36.7,
2020,NE,48,
2020,NH,35.2,
2020,NJ,31.8,
2020,NM,40.5,
2020,NV,47.4,
2020,NY,31.9,
2020,OH,47.4,
2020,OK,59.3,
2020,OR,45.6,
2020,PA,43.1,
2020,RI,36.5,
2020,SC,56.6,
2020,SD,39.9,
2020,TN,68.5,
2020,TX,37.9,
2020,UT,48.4,
2020,VA,37.6,
2020,VT,34.8,
2020,WA,39.5,
2020,WI,39.6,
2020,WV,53.7,
2020,WY,46.7,
